instr,term,enroll,evals,rmd_class,rmd_instr,time,Course_ID,Course_Name,expected_grade,expected_gpa,actual_grade,actual_gpa
"Golden, James W",WI23,107,52,90.4,88.5,4.88,BIMM 120,Microbiology (A),B+,3.65,B,3.05
"Petrie, Katherine Lynn",WI23,49,42,100.0,100.0,4.8,BIMM 121,Microbiology Laboratory (A),A-,3.8,A-,3.89
"Gustafson-Brown, Cindy",WI23,50,47,85.1,87.2,6.93,BIMM 121,Microbiology Laboratory (B),B,3.17,B+,3.48
"Pirino, Giorgia",WI23,96,54,86.5,86.5,6.31,BIMM 121,Microbiology Laboratory (C),B,3.25,B,3.09
"Burg, Michael",WI23,390,348,96.2,98.0,6.24,BIMM 134,Biology of Cancer (A),B+,3.49,B+,3.32
"Bozinovic, Goran",WI23,39,21,95.2,85.0,5.2,BIMM 143,Bioinformatics Laboratory (A),B+,3.4,B+,3.42
"Grant, Barry J",WI23,36,16,100.0,100.0,4.63,BIMM 143,Bioinformatics Laboratory (B),A-,3.88,A-,3.77
"Briggs, Steven",WI23,54,28,100.0,100.0,4.93,BIMM 172,Genome Science (A),A-,3.82,A-,3.85
"Pevzner, Pavel Arkadjevich",WI23,47,30,75.9,66.7,16.78,BIMM 181,Molecular Sequence Analysis (A),B,3.15,B+,3.55
"Hasty, Jeff M",WI23,26,11,100.0,100.0,0.5,BIMM 194,Adv Topics-Molecular Bio (C),A,4.0,A,4.0
"Bloodgood, Brenda Laurie",WI23,336,321,95.6,96.3,6.44,BIPN 100,Human Physiology I (A),B+,3.39,B,3.14
"Cooke, James Edward",WI23,323,184,97.1,97.7,7.1,BIPN 100,Human Physiology I (B),B+,3.41,B-,2.81
"Reyes Gonzalez, Catalina",WI23,157,144,95.0,95.0,7.2,BIPN 102,Human Physiology II (A),B+,3.46,B,3.14
"Armour, Jon Christopher",WI23,80,40,81.6,97.4,12.66,BIPN 105,Human Physiology Lab (A),B-,2.87,B-,2.92
"Cooke, James Edward",WI23,357,221,98.6,98.6,6.36,BIPN 134,Human Reproduction (A),B+,3.55,B,3.18
"Lovett-Barron, Matthew Rod",WI23,103,79,88.6,89.9,5.72,BIPN 140,Cellular Neurobiology (A),B,3.09,C+,2.62
"Wang, Jing",WI23,62,44,86.0,86.0,7.64,BIPN 142,Systems Neurobiology (A),B,3.08,B,3.21
"Juavinett, Ashley Lauren",WI23,28,11,90.9,100.0,7.41,BIPN 145,Neurobiology Laboratory (A),B+,3.45,B+,3.43
"Marino, Marc J",WI23,36,21,95.2,100.0,7.36,BIPN 145,Neurobiology Laboratory (B),B+,3.6,B+,3.6
"Zou, Yimin",WI23,85,53,96.2,96.2,5.69,BIPN 150,Diseases of the Nervous System (A),B+,3.44,B+,3.31
"Lim, Byungkook",WI23,64,26,96.0,96.0,5.46,BIPN 154,Neuro Stress & Mental Disorder (A),B+,3.54,B,3.15
"Root, Cory Matthew",WI23,180,138,90.6,89.1,6.75,BIPN 160,Neuroanatomy (A),B+,3.49,B+,3.5
"Yelon, Deborah",WI23,27,15,100.0,100.0,2.93,BISP 194,Adv Topics in Modern Biology (A),A-,3.93,A,4.0
"Newsam, John",WI23,28,17,100.0,100.0,3.13,BISP 194,Adv Topics in Modern Biology (B),A-,3.87,A,4.0
"Niwa, Maho",WI23,24,12,100.0,100.0,1.9,BISP 194,Adv Topics in Modern Biology (C),A-,3.8,A,4.0
"Smith, Laurie",WI23,24,16,87.5,93.8,3.0,BISP 194,Adv Topics in Modern Biology (D),A-,3.94,A-,3.86
"Bigham, David Joseph",WI23,57,40,97.5,100.0,2.91,CAT 125,Public Rhetoric & Prac Comm (0),A-,3.78,A-,3.88
"Delaville, Romain",WI23,20,4,100.0,100.0,2.0,CAT 125,Public Rhetoric & Prac Comm (0),A,4.0,A-,3.76
"Geibel, William",WI23,20,20,100.0,100.0,3.8,CAT 125,Public Rhetoric & Prac Comm (0),B+,3.53,B+,3.43
"Irwin, Matthew Joseph",WI23,38,24,100.0,95.8,4.0,CAT 125,Public Rhetoric & Prac Comm (0),B+,3.7,B+,3.57
"Marchisotto, Jennifer Anne",WI23,39,10,100.0,100.0,3.9,CAT 125,Public Rhetoric & Prac Comm (0),B+,3.5,B+,3.45
"Morales, Celeste Georgianna",WI23,60,20,84.2,94.4,3.24,CAT 125,Public Rhetoric & Prac Comm (0),B+,3.59,B+,3.59
"Tosun, Adriana",WI23,39,32,87.5,96.9,2.63,CAT 125,Public Rhetoric & Prac Comm (0),A-,3.84,A-,3.89
"Vanderschuit, Maya Alysia",WI23,51,43,83.3,85.7,3.29,CAT 125,Public Rhetoric & Prac Comm (0),B+,3.63,B+,3.44
"Smith, Lauryn Alissa",WI23,20,11,90.9,100.0,4.32,CAT 125R,Pub Rhet & Prac Comm Online (A),B+,3.55,B,3.2
"Hyland, Tina Mae",WI23,20,10,100.0,100.0,2.7,CAT 125R,Pub Rhet & Prac Comm Online (D),A-,3.7,A-,3.93
"Hyland, Tina Mae",WI23,20,6,100.0,100.0,3.83,CAT 125R,Pub Rhet & Prac Comm Online (E),A,4.0,A-,3.89
"Hyland, Tina Mae",WI23,20,7,100.0,100.0,3.07,CAT 125R,Pub Rhet & Prac Comm Online (F),A-,3.83,A-,3.91
"Tosun, Adriana",WI23,20,15,86.7,86.7,3.57,CAT 125R,Pub Rhet & Prac Comm Online (G),B+,3.6,A-,3.76
"Algaze, Guillermo",WI23,209,130,85.9,89.0,3.97,CAT 2,"Culture, Art & Technology 2 (A)",B+,3.67,A-,3.76
"Bronstein, Phoebe Malan",WI23,300,253,82.5,92.5,4.28,CAT 2,"Culture, Art & Technology 2 (B)",B+,3.68,B+,3.53
"Marchisotto, Jennifer Anne",WI23,179,154,88.7,96.7,3.42,CAT 2,"Culture, Art & Technology 2 (C)",A-,3.73,A-,3.72
"Nguyen, Hoang Tan",WI23,269,141,83.2,86.9,4.14,CAT 2,"Culture, Art & Technology 2 (D)",A-,3.73,A-,3.79
"Prather, Kimberly A",WI23,36,13,91.7,81.8,0.96,CCS 102,Research Persp/Climate Change (A),A-,3.92,A-,3.91
"Gabriel, Corey John",WI23,21,8,100.0,100.0,2.79,CCS 123,Policy\Politics Climate Change (A),A,4.0,B+,3.64
"Opatkiewicz, Justin Paul",WI23,31,27,84.6,100.0,11.22,CENG 101A,Introductory Fluid Mechanics (A),B-,2.84,B,3.13
"Liu, Ping",WI23,77,41,84.6,79.5,8.5,CENG 101B,Heat Transfer (A),B-,2.9,B,3.13
"Powell, Alyssa",WI23,119,69,94.1,97.1,8.56,CENG 102,Chemical Engin Thermodynamics (A),B,3.13,B,3.05
"Lubarda, Vlado",WI23,93,76,89.3,92.0,4.5,CENG 114,Prob and Stat Methods for Eng (A),B+,3.66,B+,3.47
"Powell, Alyssa",WI23,49,30,96.7,100.0,6.5,CENG 124A,Chem Plant & Process Design I (A),B+,3.47,B+,3.63
"Russ, Benjamin Edward",WI23,42,30,86.7,93.3,6.1,CENG 124A,Chem Plant & Process Design I (B),B+,3.33,A-,3.73
"Pokorski, Jonathan Kyle",WI23,45,21,100.0,95.2,5.45,CENG 134,Polymeric Materials (A),B,3.0,B-,2.97
"Drews, Aaron",WI23,25,12,83.3,83.3,5.33,CENG 15,Engin. Comp Using MATLAB (A),A-,3.75,B-,2.88
"Zhang, Liangfang",WI23,48,27,100.0,100.0,9.04,CENG 176A,Chem Engineerng Process Lab I (A),B+,3.54,B+,3.35
"Opatkiewicz, Justin Paul",WI23,44,22,100.0,100.0,8.32,CENG 176A,Chem Engineerng Process Lab I (B),A-,3.73,B+,3.43
"Whitley, Leila Marie",WI23,61,34,97.1,97.1,4.09,CGS 105,Queer Theory (A),B+,3.48,B+,3.55
"Martin Sandino, Amanda Maria Yoland",WI23,44,22,100.0,100.0,2.77,CGS 111,Gender and the Body (A),A-,3.73,B+,3.69
"Martin Sandino, Amanda Maria Yoland",WI23,33,16,100.0,93.8,3.38,CGS 113,Gender & Sexuality in the Arts (A),A-,3.94,A-,3.98
"Hankins, Joseph D.",WI23,23,10,100.0,100.0,3.7,CGS 120,Capitalism & Gender (A),B+,3.67,B+,3.61
"Whitley, Leila Marie",WI23,20,9,100.0,100.0,2.72,CGS 123,Gender & Reproductive Politics (A),A,4.0,A-,3.7
"Whitley, Leila Marie",WI23,49,25,96.0,100.0,4.42,CGS 2B,Intro/CGS:Social Formations (A),B+,3.64,B+,3.59
"Slade, Jonathan",WI23,143,72,84.5,84.5,7.74,CHEM 100A,Analytical Chemistry Lab (A),B+,3.34,B+,3.64
"Pomeroy, Robert S.",WI23,27,10,90.0,90.0,7.3,CHEM 100B,Instrumental Chemistry Lab (A),C+,2.6,B,3.06
"Young, Mark",WI23,41,14,71.4,92.3,9.79,CHEM 105A,Physical Chemistry Laboratory (A),B+,3.36,B-,2.89
"Young, Mark",WI23,40,20,52.6,64.7,11.7,CHEM 105A,Physical Chemistry Laboratory (B),B,3.05,B,3.2
"Haack, Daniel Brian",WI23,49,28,66.7,70.4,9.02,CHEM 108,Protein Biochemistry Lab (A),B+,3.46,B,3.16
"Haack, Daniel Brian",WI23,39,20,65.0,85.0,7.7,CHEM 108,Protein Biochemistry Lab (B),B+,3.35,B,3.11
"Ghosh, Gairika",WI23,48,23,82.6,73.9,12.07,CHEM 109,Recombinant DNA Laboratory (A),B+,3.48,A-,3.75
"Ghosh, Gairika",WI23,36,20,90.0,85.0,8.2,CHEM 109,Recombinant DNA Laboratory (B),A-,3.7,A-,3.89
"Huang, Xuemei",WI23,301,139,78.9,72.5,3.87,CHEM 11,The Periodic Table (A),B,3.29,B-,2.83
"Bussey, Thomas J",WI23,106,43,97.6,100.0,7.48,CHEM 114A,Biochemical Structure&Function (A),B,3.13,C+,2.32
"Budin, Itay",WI23,115,69,97.1,98.6,7.69,CHEM 114B,Biochem Energetics&Metabolism (A),B,3.22,B+,3.39
"Ghosh, Partho",WI23,77,51,96.0,96.0,7.52,CHEM 114B,Biochem Energetics&Metabolism (B),B-,2.96,B-,2.8
"Komives, Elizabeth A",WI23,95,41,91.9,86.5,6.55,CHEM 114C,Biosynthesis of Macromolecules (A),B,3.24,B,3.08
"Stauber, Julia Megan",WI23,81,74,86.5,89.2,6.97,CHEM 120A,Inorganic Chemistry I (A),B,3.01,B-,2.7
"Amaro, Rommie E",WI23,81,37,91.4,97.1,6.84,CHEM 126A,Phys Biochem: Thermodynamics (A),B+,3.36,B+,3.35
"Kim, Judy E.",WI23,172,84,72.0,91.4,10.09,CHEM 126B,Phys Biochem: Quantum Mech (A),B-,2.84,B-,2.84
"Galperin, Michael",WI23,103,36,69.7,90.6,7.83,CHEM 131,Chem Physics: Stat Thermo I (A),B,3.0,B-,2.71
"Pokorski, Jonathan Kyle",WI23,20,9,100.0,100.0,4.72,CHEM 134,Polymeric Materials (A),B+,3.67,B+,3.43
"Weizman, Haim",WI23,92,40,62.5,77.5,6.8,CHEM 143B,Organic Chemistry Lab II (A),C+,2.68,B,3.02
"Donoghue, Daniel J.",WI23,86,36,97.2,97.2,4.06,CHEM 151,Molecules That Changed World (A),A-,3.94,A-,3.72
"Romero, Nathan A",WI23,20,7,100.0,100.0,6.5,CHEM 154,Mechanisms/Organic Reactions (A),B+,3.43,B-,2.96
"Schmidt, Valerie A",WI23,20,7,100.0,100.0,6.5,CHEM 154,Mechanisms/Organic Reactions (A),B+,3.43,B-,2.96
"Devaraj, Neal Krishna",WI23,238,200,97.5,97.0,4.69,CHEM 168,Drug Synthesis and Design (A),B+,3.39,B+,3.38
"Thiemens, Mark H",WI23,47,13,91.7,91.7,3.17,CHEM 172,Environmental Chemistry II (A),B+,3.58,B+,3.41
"Klosterman, Jeremy K",WI23,177,147,57.5,46.6,9.34,CHEM 40A,Organic Chemistry I (A),B-,2.7,C+,2.62
"Albizati, Kim F.",WI23,207,90,92.0,98.9,8.18,CHEM 40A,Organic Chemistry I (B),B-,2.96,B-,2.78
"Romero, Erik Anthony",WI23,218,191,51.8,58.4,9.46,CHEM 40B,Organic Chemistry II (B),C+,2.59,C+,2.59
"Weizman, Haim",WI23,288,251,75.8,91.9,8.51,CHEM 40B,Organic Chemistry II (C),B-,2.99,B-,2.96
"Burkart, Michael D",WI23,293,277,72.9,79.3,8.46,CHEM 40B,Organic Chemistry II (D),B-,2.97,B-,2.87
"Godula, Kamil",WI23,363,320,80.3,97.2,7.07,CHEM 40C,Organic Chemistry III (A),B,3.08,B-,2.94
"Klosterman, Jeremy K",WI23,264,232,63.8,56.9,9.11,CHEM 41B,Organic II: React & Synth (A),B-,2.74,B-,2.76
"Lam, Tin Yiu",WI23,214,106,87.5,82.3,8.54,CHEM 43A,Organic Chemistry Laboratory (A),B+,3.37,B,3.1
"Lam, Tin Yiu",WI23,220,95,80.2,90.0,8.57,CHEM 43A,Organic Chemistry Laboratory (B),B,3.19,B,3.03
"Tezcan, Faik",WI23,298,162,76.8,71.2,6.54,CHEM 6A,General Chemistry I (A),C+,2.64,C,2.15
"Hopkins, Patrycja Anna",WI23,379,171,90.8,93.8,5.88,CHEM 6A,General Chemistry I (B),B,3.13,B-,2.77
"Schurmeier, Kimberly",WI23,174,104,93.9,99.0,7.05,CHEM 6B,General Chemistry II (A),B+,3.34,B,3.13
"Leigh, Brian",WI23,235,134,93.9,99.2,7.63,CHEM 6B,General Chemistry II (B),B+,3.35,B,3.17
"Young, Mark",WI23,30,15,53.3,40.0,6.5,CHEM 6B,General Chemistry II (C),B,3.0,B-,2.79
"Kummel, Andrew C",WI23,147,78,87.8,82.4,6.87,CHEM 6B,General Chemistry II (D),B,3.22,B-,2.74
"Leigh, Brian",WI23,234,139,92.5,97.8,7.14,CHEM 6B,General Chemistry II (E),B+,3.39,B,3.1
"Stallings, Dontarie M",WI23,246,144,95.7,100.0,7.45,CHEM 6B,General Chemistry II (F),B+,3.38,B,3.08
"Sailor, Michael Joseph",WI23,202,113,67.3,50.0,7.72,CHEM 6B,General Chemistry II (G),B,3.05,B-,2.91
"Yuen Zhou, Joel",WI23,32,24,66.7,41.7,8.17,CHEM 6BH,Honors General Chemistry II (A),B-,2.96,B+,3.4
"Albizati, Kim F.",WI23,252,84,87.2,94.9,7.39,CHEM 6C,General Chemistry III (A),B-,2.96,C+,2.66
"Jazzar, Rodolphe",WI23,233,107,79.0,90.4,6.8,CHEM 7L,General Chemistry Laboratory (A),B,3.04,B-,2.94
"Jazzar, Rodolphe",WI23,230,105,81.0,92.0,7.5,CHEM 7L,General Chemistry Laboratory (B),B,3.12,B-,2.99
"Chen, Pei-Chia",WI23,20,10,100.0,100.0,4.28,CHIN 100BN,Third Yr Chinese/Non-Native II (A),A-,3.71,B+,3.68
"Liu, Mingming",WI23,20,19,100.0,100.0,5.97,CHIN 10BD,First Yr Chinese/Dialect Sp II (A),A-,3.76,A-,3.75
"Chen, Pei-Chia",WI23,26,12,100.0,100.0,6.0,CHIN 10BM,First Yr Chinese/Mandarin II (A),B+,3.63,A-,3.76
"Xu, Li",WI23,29,15,100.0,100.0,5.07,CHIN 10BN,First Yr Chinese/Non-Native II (A),B+,3.64,B-,2.97
"Xu, Li",WI23,26,9,100.0,100.0,4.28,CHIN 10BN,First Yr Chinese/Non-Native II (B),B+,3.5,B,3.16
"Boyle, Mary E. T.",WI23,462,234,98.7,99.5,2.52,COGS 1,Introduction to Cognitive Sci (A),A-,3.81,A-,3.76
"Simpkins, Charles Alexander",WI23,326,168,58.3,53.7,3.51,COGS 100,Cyborgs Now and in the Future (A),A-,3.72,A-,3.98
"Barrera, Steven James",WI23,378,139,98.5,100.0,4.18,COGS 101A,Sensation and Perception (A),A-,3.73,B+,3.54
"Hoffman, Drew Ellen",WI23,293,172,97.7,97.1,4.0,COGS 101B,"Learning, Memory and Attention (A)",B+,3.68,B+,3.45
"Trott, Sean Thomas",WI23,138,47,95.7,100.0,3.46,COGS 101C,Language (A),A-,3.89,B+,3.55
"Boyle, Mary E. T.",WI23,240,69,81.8,85.9,6.77,COGS 107A,Neuroanatomy and Physiology (A),B+,3.54,B+,3.56
"Mooshagian, Eric Frederick",WI23,293,169,83.2,83.8,5.1,COGS 107B,Systems Neuroscience (A),B+,3.61,B+,3.65
"Simpkins, Charles Alexander",WI23,419,245,74.0,52.3,4.51,COGS 108,Data Science in Practice (A),A-,3.77,A-,3.87
"Hoffman, Drew Ellen",WI23,175,63,100.0,100.0,3.63,COGS 111,Beauty and the Brain (A),A-,3.9,B+,3.6
"Deak, Gedeon O.",WI23,58,12,91.7,91.7,5.23,COGS 115,Neurologcl Devlp & Cogntv Chng (A),B,3.0,B,3.22
"Fleischer, Jason G",WI23,184,139,83.2,84.6,7.91,COGS 118A,Supvr/Mach Learning Algorithms (A),B,3.29,B+,3.34
"Mukamel, Eran A",WI23,68,28,82.1,82.1,8.79,COGS 118C,Neural Signal Processing (A),B+,3.37,B+,3.47
"Dow, Steven P",WI23,164,71,91.3,91.2,5.43,COGS 123,Social Computing (A),A-,3.8,B+,3.65
"Guo, Philip J",WI23,21,8,100.0,100.0,3.75,COGS 124,HCI Technical Systems Research (A),A-,3.88,B+,3.67
"Guo, Philip J",WI23,142,46,95.2,97.6,5.71,COGS 127,Data-Driven UX/Product Design (A),A-,3.86,A-,3.89
"Johnson, Christine M.",WI23,245,87,65.5,82.9,5.01,COGS 13,Fld Methods: Cognition in Wild (A),B+,3.43,B,3.22
"Ellis, Shannon Elizabeth",WI23,62,24,95.8,100.0,7.46,COGS 137,Practical Data Science in R (A),A-,3.78,B+,3.65
"Nunez, Rafael E",WI23,283,119,33.6,27.4,4.88,COGS 14A,Intro. to Research Methods (A),C+,2.58,C-,1.98
"Barrera, Steven James",WI23,189,81,90.1,98.8,4.35,COGS 14B,Intro. to Statistical Analysis (A),B+,3.59,B,3.26
"Creel, Sarah",WI23,69,25,100.0,91.7,4.25,COGS 156,Language Development (A),B+,3.5,B-,2.71
"Boyle, Mary E. T.",WI23,69,35,94.1,97.1,3.99,COGS 163,Metabolic Disorders/Brain (A),A-,3.86,A-,3.91
"Kiyonaga, Anastasia",WI23,80,31,87.1,96.8,5.15,COGS 165,Neuroimaging of Cognition (A),A-,3.84,A-,3.87
"Johnson, Christine M.",WI23,410,184,96.1,96.6,4.83,COGS 17,Neurobiology of Cognition (A),A-,3.73,B+,3.48
"Greene, Deanna Jacquelyn",WI23,155,92,96.6,98.9,4.72,COGS 172,Brain Disorders and Cognition (A),B+,3.57,B+,3.32
"Fleischer, Jason G",WI23,344,130,83.7,86.2,6.14,COGS 18,Introduction to Python (A),B+,3.51,B+,3.4
"Tu, Zhuowen",WI23,103,40,100.0,95.0,7.15,COGS 181,Neural Networks/Deep Learning (A),B+,3.69,B+,3.58
"Kirsh, David Joel",WI23,103,28,88.5,80.8,7.31,COGS 187B,Practicum in Pro Web Design (A),A-,3.93,B+,3.64
"D'Amico, Alessandro",WI23,175,108,90.5,96.2,5.19,COGS 189,Brain Computer Interfaces (A),A-,3.71,A-,3.74
"Shannon, Kyle Michael",WI23,247,190,88.8,96.8,3.2,COGS 9,Introduction to Data Science (A),A-,3.83,A-,3.78
"Alac, Morana",WI23,225,101,76.8,63.6,3.08,COMM 10,Introduction to Communication (A),A-,3.79,B+,3.55
"Serlin, David",WI23,252,93,84.8,84.4,4.76,COMM 100B,"Comm, Culture & Representation (A)",B+,3.61,B+,3.64
"Martinico, Daniel J",WI23,65,29,100.0,96.6,6.78,COMM 101,Intro Audio-Vis Media Practice (A),A-,3.97,A-,3.75
"Halm, Gavin Patrick",WI23,25,5,100.0,100.0,1.83,COMM 101T,Media Prod Lab: Topics in Prod (A),A,4.0,A,4.0
"Hallin, Daniel C",WI23,33,7,100.0,100.0,4.79,COMM 104G,CMS: Latin America & Caribbean (A),B+,3.5,B+,3.37
"Tanaka, Stefan A.",WI23,28,7,71.4,71.4,5.93,COMM 106C,CI: History thru Comics-Japan (A),B,3.14,B+,3.31
"Geiger, Richard Stuart",WI23,41,31,100.0,100.0,5.79,COMM 106D,CI: Data and Culture (A),A-,3.9,A-,3.9
"Irani, Lilly C",WI23,103,30,100.0,100.0,4.1,COMM 106I,CI: Internet Industry (A),A-,3.83,A-,3.82
"Dewaard, Andrew Michael",WI23,71,45,88.6,93.2,5.23,COMM 106T,"CI: TV, Culture & the Public (A)",B+,3.4,B+,3.31
"Serlin, David",WI23,31,11,90.9,81.8,5.05,COMM 108D,POB: Disability (A),A-,3.91,B+,3.52
"Jack, Caroline Sarah",WI23,95,36,75.8,75.8,5.85,COMM 109D,MC: Advertising & Society (A),B+,3.54,B,3.25
"Zilberg, Elana",WI23,27,12,66.7,58.3,4.33,COMM 111B,Global Borders: Communication (A),B+,3.58,B+,3.53
"Dominguez Rubio, Fernando",WI23,27,11,90.9,90.9,3.95,COMM 113T,Intm Topics in Communication (A),B+,3.36,B,3.22
"Sims, Christopher O",WI23,21,7,100.0,100.0,9.07,COMM 124B,Critical Design/Topic Studio (A),A-,3.86,A-,3.77
"Boateng, Boatema",WI23,22,6,100.0,100.0,4.17,COMM 138,"Black Women,Feminism & Media (A)",B+,3.6,B,3.14
"Dewaard, Andrew Michael",WI23,28,10,90.0,90.0,6.3,COMM 142,Film Authorship (A),A-,3.7,B,3.19
"Ahn, Patricia Jeehyun",WI23,33,13,100.0,100.0,3.58,COMM 146,Adv Studies-Cultural Prductn (A),A,4.0,A,4.0
"Halm, Gavin Patrick",WI23,49,16,93.8,100.0,4.38,COMM 146,Adv Studies-Cultural Prductn (B),A-,3.88,A-,3.86
"Fields, Gary",WI23,24,3,100.0,100.0,7.17,COMM 158,Rep/Israeli/Pal Conflict (A),A,4.0,B+,3.5
"Cordoba Azcarate, Matilde",WI23,45,20,100.0,100.0,4.0,COMM 159,"Tourism, Power & Place (A)",A-,3.85,B+,3.64
"Sims, Christopher O",WI23,33,8,100.0,87.5,3.75,COMM 171,Environmental Communication (A),A-,3.75,B+,3.37
"Anderson, Patrick W.",WI23,29,6,100.0,100.0,3.5,COMM 177,Culture Domination & Resistnce (A),A,4.0,B+,3.48
"Hill, Erin Truesdell",WI23,24,11,81.8,100.0,7.05,COMM 190,Junior Seminar in Comm (A),B,3.09,B,3.23
"Cordoba Azcarate, Matilde",WI23,23,13,100.0,100.0,5.42,COMM 190,Junior Seminar in Comm (B),A,4.0,A-,3.74
"Fields, Gary",WI23,22,6,66.7,60.0,2.5,COMM 190,Junior Seminar in Comm (C),B+,3.5,B+,3.44
"Halm, Gavin Patrick",WI23,30,9,100.0,100.0,2.28,COMM 20,Media Forms and Cultures (A),B+,3.44,B+,3.48
"Schmidt, Thomas Rainer",WI23,29,16,100.0,100.0,3.0,COMM 30,Digital Media Literacy (A),A-,3.81,B+,3.64
"Moshiri, Alexander Niema",WI23,188,133,97.0,98.5,7.82,CSE 100,Advanced Data Structures (A),B+,3.6,B+,3.36
"Moshiri, Alexander Niema",WI23,315,250,98.8,98.4,7.87,CSE 100R,Advanced Data Structures (A),B+,3.68,B+,3.47
"Kane, Daniel Mertz",WI23,425,169,86.7,88.3,12.24,CSE 101,Design & Analysis of Algorithm (A),B,3.1,B,3.08
"Jones, Miles E",WI23,340,142,84.2,94.9,8.51,CSE 105,Theory of Computation (A),B+,3.49,B,3.25
"Bellare, Mihir",WI23,56,11,90.9,90.9,6.14,CSE 107,Intro to Modern Cryptography (A),A-,3.7,B-,2.76
"Miranda, Gregory Joseph",WI23,287,107,91.3,87.3,8.54,CSE 11,Accel. Intro to Programming (A),B+,3.63,B+,3.41
"Griswold, William G.",WI23,214,149,62.6,57.1,12.35,CSE 110,Software Engineering (A),B+,3.53,B+,3.33
"Cao, Yingjun",WI23,230,181,97.2,93.9,8.03,CSE 12,Basic Data Struct & OO Design (A),A-,3.71,B+,3.6
"Cao, Yingjun",WI23,341,285,97.9,95.0,7.73,CSE 12,Basic Data Struct & OO Design (B),A-,3.74,A-,3.73
"Pasquale, Joseph",WI23,188,64,84.7,87.9,11.74,CSE 120,Princ/Computer Operating Systm (A),B,3.02,B,3.01
"Pasquale, Joseph",WI23,145,52,89.6,93.8,11.1,CSE 120,Princ/Computer Operating Systm (B),B,3.2,B,3.08
"Shalev, Aaron D",WI23,90,27,76.9,96.2,13.24,CSE 123,Computer Networks (A),B,3.25,C+,2.68
"Heninger, Nadia A",WI23,176,60,89.5,86.0,9.36,CSE 127,Intro to Computer Security (A),B+,3.33,B,3.28
"Borkowski, Michael Humes",WI23,82,69,76.5,80.6,8.26,CSE 130,Progrmng Lang:Princpl&Paradigm (A),B,3.18,B,3.19
"Vianu, Victor Dan",WI23,187,67,78.8,77.3,7.24,CSE 132A,Database System Principles (A),B,3.26,B-,2.71
"Powell, Thomas Allan",WI23,181,54,88.5,86.3,8.81,CSE 134B,Web Client Languages (A),B+,3.32,B,3.1
"Eldon, John",WI23,135,86,69.8,82.6,7.23,CSE 140,Component&Desgn Tech/Digtl Sys (A),B,3.3,B,3.09
"Chin, Bryan W.",WI23,139,110,72.7,88.2,12.39,CSE 140L,Digital Systems Laboratory (A),B+,3.51,B+,3.45
"Tullsen, Dean Michael",WI23,174,119,86.3,83.8,7.72,CSE 141,Intro/Computer Architecture (A),B-,2.98,B-,2.9
"Eldon, John",WI23,170,51,87.2,95.7,7.43,CSE 141L,Project/Computer Architecture (A),B+,3.37,B,3.29
"Dasgupta, Sanjoy",WI23,137,46,95.5,100.0,8.55,CSE 151A,Intro to Machine Learning (A),B+,3.49,B,3.22
"Dasgupta, Sanjoy",WI23,132,41,97.3,97.3,8.5,CSE 151A,Intro to Machine Learning (B),A-,3.74,B,3.25
"Chandraker, Manmohan Krishna",WI23,138,102,96.1,96.1,9.6,CSE 152A,Intro to Comp Vision I (A),B+,3.46,B+,3.51
"Politz, Joseph Gibbs",WI23,236,153,93.3,93.2,3.79,CSE 15L,Software Tools&Techniques Lab (A),A-,3.87,A-,3.77
"Politz, Joseph Gibbs",WI23,322,209,98.0,97.5,3.84,CSE 15L,Software Tools&Techniques Lab (B),A-,3.92,A-,3.8
"Kastner, Ryan Charles",WI23,147,93,95.6,97.8,7.02,CSE 160,Intro to Parallel Computing (A),B+,3.53,B+,3.37
"Ochoa, Benjamin Lawrence",WI23,58,22,81.8,81.8,8.68,CSE 166,Image Processing (A),B-,2.95,B-,2.7
"Ramamoorthi, Ravi",WI23,128,69,87.0,88.4,9.41,CSE 167,Computer Graphics (A),B+,3.5,B,3.22
"Rotenberg, Steven Paul",WI23,42,17,94.1,94.1,9.68,CSE 169,Computer Animation (A),B+,3.56,B,3.14
"Pevzner, Pavel Arkadjevich",WI23,20,15,93.3,93.3,14.77,CSE 181,Molecular Sequence Analysis (A),B+,3.67,B+,3.62
"Bandeira, Nuno Filipe Cabrita",WI23,28,12,91.7,100.0,6.68,CSE 190,Top/Computer Sci & Engineering (A),B+,3.36,B-,2.78
"Jones, Miles E",WI23,281,144,89.2,92.1,6.8,CSE 20,Discrete Mathematics (A),B+,3.63,B,3.24
"Briones, Jor-el Thomas Caparas",WI23,261,191,93.2,89.4,7.51,CSE 21,Math/Algorithm&Systems Analys (A),B+,3.58,B+,3.69
"Soosai Raj, Adalbert Geral",WI23,167,151,95.3,95.2,9.59,CSE 30,Computer Organiz&Systms Progrm (A),B+,3.44,B,3.09
"Soosai Raj, Adalbert Geral",WI23,194,178,95.5,98.9,10.24,CSE 30,Computer Organiz&Systms Progrm (B),B+,3.39,B,3.05
"Elsherif, May Elhussein",WI23,195,63,88.7,91.4,6.82,CSE 8A,Intro to Programming 1 (A),B+,3.55,B,3.24
"Miranda, Gregory Joseph",WI23,343,148,86.5,70.3,6.98,CSE 8B,Intro to Programming 2 (A),B+,3.53,B+,3.41
"Mignozzetti, Umberto",WI23,118,61,93.0,91.1,5.02,CSS 1,Prog Computational Social Sci (A),B+,3.38,B+,3.56
